id,name,gender,quality,level,class,hp,mp,tp,at,ad,mt,md,speed,taunt,accur,evo,crit,expect,passiveEffect,bleed_def,mind_def,fire_def,frost_def,corrosion_def,nature_def,dizzy_def,confuse_def,race,extra
200001,无名牧师,-1,0,0,牧师,90,90,50,10,10,10,10,5,10,10,1,5,2,,25,25,25,25,25,25,25,25,0,0
200002,蒸羊羔,1,0,0,牧师,180,180,50,10,12,20,10,5,8,15,2,7,3,,25,25,25,25,25,25,25,25,0,0
200003,蒸熊掌,0,0,0,牧师,180,180,50,10,12,20,10,5,8,15,2,7,3,,25,25,25,25,25,25,25,25,0,0
200004,蒸鹿尾儿,1,0,0,牧师,180,180,50,10,12,20,10,5,8,15,1,7,3,,25,25,25,25,25,25,25,25,0,0
200005,烧花鸭,0,0,0,牧师,180,180,50,10,12,20,10,5,8,15,1,7,3,,25,25,25,25,25,25,25,25,0,0
200006,烧雏鸡,1,0,0,牧师,150,180,50,10,5,21,10,7,7,20,5,5,2,,25,25,25,25,25,25,25,25,1,0
200007,烧子鹅,1,0,0,牧师,150,180,50,10,5,21,10,7,7,20,5,5,2,,25,25,25,25,25,25,25,25,1,0
200008,卤猪,0,0,0,牧师,135,180,50,10,5,21,10,6,7,15,1,5,2,,25,25,25,25,25,25,25,25,1,0
200009,卤鸭,0,0,0,牧师,135,180,50,10,5,21,10,6,7,15,1,5,2,,25,25,25,25,25,25,25,25,1,0
200010,酱鸡,1,0,0,牧师,200,200,50,12,10,23,10,5,10,15,1,5,2,,25,25,25,25,25,25,25,25,2,0
200011,腊肉,0,0,0,牧师,200,200,50,12,10,23,10,5,10,15,1,5,2,,25,25,25,25,25,25,25,25,2,0
200012,松花,1,0,0,牧师,225,200,50,12,10,23,10,5,10,15,1,2,2,,25,25,25,25,25,25,25,25,2,0
200013,小肚儿,0,0,0,牧师,225,200,50,12,10,23,10,5,10,15,1,2,2,,25,25,25,25,25,25,25,25,2,0
